(1, 55)
(1, 61)
(1, 53)
(1, 59)
(1, 47)
(1, 127)
(1, 49)
(1, 117)
(1, 39)
(1, 51)
(1, 71)
(1, 99)
(1, 33)
(1, 111)
(1, 57)
(1, 137)
(1, 129)
(1, 65)
(1, 105)
(1, 123)
(1, 41)
(1, 113)
(1, 27)
(1, 133)
(1, 109)
(1, 131)
(1, 121)
(1, 95)
(1, 91)
(1, 85)
(1, 89)
(1, 101)
(1, 43)
(1, 77)
(1, 125)
(1, 119)
(1, 29)
(1, 115)
(1, 63)
(1, 93)
(1, 139)
(1, 67)
(1, 81)
(1, 103)
(1, 87)
(1, 75)
(1, 141)
(1, 37)
(1, 79)
(1, 31)
(1, 45)
(1, 97)
(1, 107)
(1, 143)
(1, 69)
(1, 83)
(1, 135)
(1, 73)
(1, 35)
(3, 38)
